dataset,arch_id,arch_flag,exp,beta,reg,seed,min_val_elbo_bpd,final_val_elbo_bpd,ood_val_elbo_bpd,obs,scaled,shear,shift,swel,thic,thin
mnist,conv3,0,2.15.5,1.0,0.0.0.0,0,0.1798022522693525,0.1810204536851949,,0.0625930577516555,0.1727649122476577,0.1124195158481597,0.1089330166578292,0.1086456626653671,0.1944309771060943,0.1476746499538421
mnist,conv3,0,2.15.5,1.0,0.0.0.0,1,0.1804835439222788,0.1809492877935446,,0.0688135400414466,0.200385108590126,0.1069806069135665,0.1243635192513465,0.1097571700811386,0.1947630941867828,0.1115476787090301
mnist,conv3,0,2.15.5,1.0,0.0.0.0,2,0.1811520039222971,0.1822578967689949,,0.0752728730440139,0.1626632660627365,0.0984473824501037,0.1005511060357093,0.1044853180646896,0.2045388519763946,0.1117532104253768
mnist,conv3,0,2.15.5,1.0,0.0.0.0,3,0.1802742048600173,0.1802742048600173,,0.0633150711655616,0.1767147481441497,0.102831020951271,0.1088209375739097,0.092566929757595,0.1694981455802917,0.1673513799905777
mnist,conv3,0,2.15.5,1.0,0.0.0.0,4,0.1807653176876683,0.1820371647864983,,0.065904326736927,0.1829889118671417,0.1018690392374992,0.1090129092335701,0.0963257327675819,0.2169747501611709,0.1257678717374801
mnist,conv3,1,2.15.5,1.0,0.0.0.0,0,0.2023614620589299,0.2227802148221196,,0.0838436260819435,0.1392970085144043,0.1115190312266349,0.1152993440628051,0.135630190372467,0.2538357973098755,0.0986998528242111
mnist,conv3,1,2.15.5,1.0,0.0.0.0,1,0.2065288579350868,0.2130619905218971,,0.0915490910410881,0.1269453018903732,0.1157219111919403,0.1165527924895286,0.1495037525892257,0.2537398338317871,0.086231842637062
mnist,conv3,1,2.15.5,1.0,0.0.0.0,2,0.1986139533392319,0.2083599611657382,,0.0865985825657844,0.1332704424858093,0.1049964278936386,0.1064842492341995,0.1329065263271331,0.227622240781784,0.1173240691423416
mnist,conv3,1,2.15.5,1.0,0.0.0.0,3,0.1989040170301494,0.2078890333482992,,0.0887576565146446,0.1267527490854263,0.1098443567752838,0.1177900061011314,0.130839467048645,0.2408354729413986,0.1109747439622879
mnist,conv3,1,2.15.5,1.0,0.0.0.0,4,0.1987705919478114,0.2161527397689877,,0.0738197788596153,0.1823828369379043,0.101955659687519,0.1194420456886291,0.0957621857523918,0.1809682548046112,0.1209091693162918
mnist,conv3,2,2.15.5,1.0,0.0.0.0,0,0.2282310212293547,0.2439666217087298,,0.0889497548341751,0.0614503771066665,0.1074501499533653,0.0975633859634399,0.1135511025786399,0.1623096913099289,0.0664007067680358
mnist,conv3,2,2.15.5,1.0,0.0.0.0,1,0.2452992907375255,0.265112384129928,,0.1036842465400695,0.0605695359408855,0.1300775110721588,0.1244006976485252,0.1334784179925918,0.1839524060487747,0.0552933476865291
mnist,conv3,2,2.15.5,1.0,0.0.0.0,2,0.2429674605199559,0.2591001514768719,,0.079670637845993,0.0709104314446449,0.1036150380969047,0.1022030785679817,0.1038588806986808,0.1612060815095901,0.0790174081921577
mnist,conv3,2,2.15.5,1.0,0.0.0.0,3,0.2428948563884051,0.2719144532393714,,0.1084931343793869,0.0570841580629348,0.1228296309709549,0.1163797006011009,0.1366459727287292,0.1850213855504989,0.0584123432636261
mnist,conv3,2,2.15.5,1.0,0.0.0.0,4,0.2498898994903719,0.2541650227355619,,0.1123462989926338,0.0581107027828693,0.1332765072584152,0.1233387514948844,0.1418533325195312,0.1975942999124527,0.0596731640398502
mnist,conv3,3,2.15.5,1.0,0.0.0.0,0,0.2162599757509009,0.2277059842986886,,0.0835928320884704,0.1727349758148193,0.1171409413218498,0.1295737773180008,0.1149236634373664,0.222266286611557,0.1224531605839729
mnist,conv3,3,2.15.5,1.0,0.0.0.0,1,0.2175633874511278,0.2250046567006726,,0.0854325070977211,0.1620380133390426,0.1176517754793167,0.1197211518883705,0.1190724819898605,0.2027219980955124,0.1306936889886856
mnist,conv3,3,2.15.5,1.0,0.0.0.0,2,0.2120166392036142,0.2226695594371779,,0.0747076049447059,0.1762572079896927,0.1027713045477867,0.1180691048502922,0.1009044349193573,0.1720592826604843,0.1459216475486755
mnist,conv3,3,2.15.5,1.0,0.0.0.0,3,0.215455766004795,0.2369430618108281,,0.0899394750595092,0.1376403719186782,0.1043841019272804,0.1125524491071701,0.1189902797341346,0.2530917525291443,0.1000941917300224
mnist,conv3,3,2.15.5,1.0,0.0.0.0,4,0.2221133767897403,0.2292321334915754,,0.0773129314184188,0.1787999719381332,0.1027901023626327,0.1025556474924087,0.1149042770266532,0.1830114126205444,0.1298595666885376
mnist,conv3,4,2.15.5,1.0,0.0.0.0,0,0.2193045782171813,0.238280177631265,,0.0846237391233444,0.0862739011645317,0.1194945946335792,0.1095863059163093,0.123753473162651,0.2250244170427322,0.0791691020131111
mnist,conv3,4,2.15.5,1.0,0.0.0.0,1,0.2280631996776449,0.2361784715633645,,0.0789073333144187,0.0987966284155845,0.1143166124820709,0.1119664087891578,0.1123525947332382,0.1741069108247757,0.089649386703968
mnist,conv3,4,2.15.5,1.0,0.0.0.0,2,0.2143548825864117,0.2214528467468595,,0.08394106477499,0.1322665512561798,0.1061465293169021,0.0943940430879592,0.1110041663050651,0.1929155737161636,0.084123246371746
mnist,conv3,4,2.15.5,1.0,0.0.0.0,3,0.2207491209835126,0.2335193380919953,,0.0830563157796859,0.0925243124365806,0.107633002102375,0.1037609204649925,0.1134412661194801,0.1986493915319442,0.0763475820422172
mnist,conv3,4,2.15.5,1.0,0.0.0.0,4,0.2195831503365948,0.225663648198349,,0.0787199810147285,0.1376385986804962,0.1010712757706642,0.1067628860473632,0.1120999455451965,0.1719902157783508,0.1284890621900558
mnist,conv3,5,2.15.5,1.0,0.0.0.0,0,0.2161041992267749,0.2360602653072111,,0.0815141648054122,0.084288902580738,0.1052301377058029,0.1011806204915046,0.0986764729022979,0.1863491684198379,0.0958735346794128
mnist,conv3,5,2.15.5,1.0,0.0.0.0,1,0.2307900860245784,0.2480676706872684,,0.0843405202031135,0.0924366861581802,0.1097936034202575,0.1204906031489372,0.1139431074261665,0.1798307448625564,0.0738809257745742
mnist,conv3,5,2.15.5,1.0,0.0.0.0,2,0.2200672223010966,0.2216390493820372,,0.0852495729923248,0.1258295029401779,0.1191224306821823,0.1138578876852989,0.113044686615467,0.184406891465187,0.0740926712751388
mnist,conv3,5,2.15.5,1.0,0.0.0.0,3,0.225175283525923,0.2384016752128935,,0.0934732109308242,0.0974953547120094,0.107196494936943,0.1131658554077148,0.1306430101394653,0.1896409094333648,0.0641055628657341
mnist,conv3,5,2.15.5,1.0,0.0.0.0,4,0.2226978134020208,0.231773375149116,,0.0808826461434364,0.1011849716305732,0.108830526471138,0.1137720420956611,0.1093401461839675,0.1792176514863968,0.0919142737984657
mnist,,Ada-GVAE,,,,0,,1.0345912308079412,,0.533338189125061,0.5783421397209167,0.4989373087882995,0.515361487865448,0.4794738888740539,0.4589121043682098,0.4772703051567077
mnist,,Ada-GVAE,,,,1,,1.0329264979090087,,0.4954306483268738,0.5494933128356934,0.4786016047000885,0.5200921297073364,0.4619456231594085,0.4595588445663452,0.4722526669502258
mnist,,Ada-GVAE,,,,2,,1.0297490394306743,,0.5312630534172058,0.5128607153892517,0.5373097658157349,0.513153612613678,0.5131572484970093,0.47422656416893,0.5490307807922363
mnist,,Ada-GVAE,,,,3,,1.0400161402893564,,0.5398215651512146,0.5048688650131226,0.5415421724319458,0.4730646908283233,0.4443661868572235,0.5003855228424072,0.4906575381755829
mnist,,Ada-GVAE,,,,4,,1.038104321229657,,0.5053278207778931,0.4859808087348938,0.4919362366199493,0.4490984678268432,0.4670137166976928,0.4745042026042938,0.5175352096557617
mnist,,BetaTCVAE,,,,0,,1.028822124523498,,0.4894459545612335,0.4885596334934234,0.4795406460762024,0.4564613103866577,0.4849017262458801,0.5127431154251099,0.5327185392379761
mnist,,BetaTCVAE,,,,1,,1.0263922071549283,,0.5077819228172302,0.4576159119606018,0.441385954618454,0.4802850782871246,0.4967022240161896,0.4929147064685821,0.4945911169052124
mnist,,BetaTCVAE,,,,2,,1.0812933917283902,,0.517720639705658,0.4887903332710266,0.5106662511825562,0.4579415619373321,0.4868927001953125,0.4667869508266449,0.4629270136356354
mnist,,BetaTCVAE,,,,3,,1.0265399400310506,,0.5403545498847961,0.5348395705223083,0.4569966197013855,0.4177107512950897,0.4744948148727417,0.4539156556129455,0.5068218111991882
mnist,,BetaTCVAE,,,,4,,1.0149216185854193,,0.4544064104557037,0.4910989999771118,0.4937203824520111,0.4201691150665283,0.5168020725250244,0.4486561119556427,0.5352588891983032
mnist,,TVAE,,,,0,,1.0374390458991494,,0.4046438336372375,0.507884681224823,0.5630752444267273,0.5149330496788025,0.501807451248169,0.4762875139713287,0.5086343884468079
mnist,,TVAE,,,,1,,1.037046722502862,,0.4981927275657654,0.4353932440280914,0.4490526616573334,0.5024397373199463,0.495071142911911,0.4645018577575683,0.5004100799560547
mnist,,TVAE,,,,2,,1.0396497519771948,,0.4571622312068939,0.5216071605682373,0.527543306350708,0.5245798230171204,0.4909870028495788,0.4351982176303863,0.5386567711830139
mnist,,TVAE,,,,3,,1.035405490485804,,0.4386476576328277,0.4746986031532287,0.4684690237045288,0.4713978469371795,0.4777093529701233,0.5150371789932251,0.5005739331245422
mnist,,TVAE,,,,4,,1.0342399688228678,,0.5158699750900269,0.5092405080795288,0.4342456459999084,0.4940122365951538,0.4375892281532287,0.4707492291927337,0.4703088700771332
