dataset,arch_id,arch_flag,exp,beta,reg,seed,min_val_elbo_bpd,final_val_elbo_bpd,ood_val_elbo_bpd,obs,quad1,quad2,quad3,quad4,size,orientation,quad1_quad2,quad1_quad3,quad1_quad4,quad1_orientation,quad1_size,quad2_quad3,quad2_quad4,quad2_size,quad2_orientation
quad,simple64bn,2,2.32.8,1.0,0.0.0.0,0,0.5438261290658334,0.5987718232085767,0.6550005779522046,0.0608287043869495,0.069731019437313,0.0785569846630096,0.0697388872504234,0.0699560269713401,0.0921957045793533,0.0499369725584983,0.0866380259394645,0.0796280205249786,0.0679764524102211,0.0599032826721668,0.0917178764939308,0.0915942266583442,0.0839519128203392,0.111891396343708,0.0735005140304565
quad,simple64bn,2,2.32.8,1.0,0.0.0.0,1,0.4815597813885577,0.5013246165598255,0.9491134311066848,0.0521622933447361,0.053043745458126,0.0552166067063808,0.0580727569758892,0.0507123917341232,0.0594636611640453,0.0531202033162117,0.0626250654458999,0.050705187022686,0.219847172498703,0.0558187440037727,0.1417793482542038,0.056135531514883,0.0595983564853668,0.0849311202764511,0.0549377538263797
quad,simple64bn,2,2.32.8,1.0,0.0.0.0,2,0.4703974202555782,0.478600252462198,0.8092650934145832,0.0603025294840335,0.0608046539127826,0.0505527146160602,0.0579740591347217,0.0601723007857799,0.0641528218984603,0.0646726712584495,0.2120877057313919,0.0570725537836551,0.0642156898975372,0.0547072924673557,0.0860743969678878,0.0542313009500503,0.0684003084897995,0.1195391789078712,0.0567213669419288
quad,simple64bn,2,2.32.8,1.0,0.0.0.0,3,0.5063135213339648,0.5339740919566814,0.5935025292752376,0.0587311871349811,0.068264402449131,0.068254642188549,0.0644457712769508,0.0897775515913963,0.0918292701244354,0.0651610642671585,0.074119359254837,0.1411054730415344,0.0675281137228012,0.0711094215512275,0.0971372127532959,0.0745250657200813,0.0666387379169464,0.099608190357685,0.0718248784542083
quad,simple64bn,2,2.32.8,1.0,0.0.0.0,4,0.4694131245619562,0.4819933298127747,0.5938856213339234,0.0457786545157432,0.0587725453078746,0.0539329126477241,0.0624343045055866,0.0523132607340812,0.0649198070168495,0.0526545941829681,0.0628007724881172,0.0625790432095527,0.0480793640017509,0.0567323565483093,0.0902793705463409,0.0579491294920444,0.0608662478625774,0.07879189401865,0.0595856942236423
quad,simple64bn,2,2.32.8,1.0,0.1.0.0,0,0.5401859311480242,0.6093986646060583,0.6505052732963051,0.0558902062475681,0.0580347701907157,0.0627626925706863,0.0582339912652969,0.0521925017237663,0.0689753293991088,0.0577352344989776,0.058918610215187,0.0715946704149246,0.0568886771798133,0.0590514950454235,0.0983227863907814,0.0616168081760406,0.0710898861289024,0.0735106989741325,0.0507027693092823
quad,simple64bn,2,2.32.8,1.0,0.1.0.0,1,0.471435131611594,0.4810028126975336,0.8861118959141477,0.0528381168842315,0.0529551282525062,0.0487319231033325,0.0548328422009944,0.0476492568850517,0.0537468455731868,0.0444295406341552,0.0495581217110157,0.0475525483489036,0.2167334705591201,0.0464645512402057,0.1077111661434173,0.052087340503931,0.0449814908206462,0.0676039457321167,0.0501091368496418
quad,simple64bn,2,2.32.8,1.0,0.1.0.0,2,0.4752544318689087,0.4818015728784396,0.5561741532124037,0.0558293834328651,0.0555605106055736,0.0499523989856243,0.0538671426475048,0.0537597239017486,0.0844000130891799,0.0657491832971572,0.083370640873909,0.0733806490898132,0.0751462429761886,0.0545730106532573,0.0821160301566124,0.0800328031182289,0.0690162107348442,0.1002049222588539,0.0615681819617748
quad,simple64bn,2,2.32.8,1.0,0.1.0.0,3,0.499491881337804,0.5914890520992742,0.60276361697521,0.0546778440475463,0.0694767236709594,0.0534232966601848,0.063908502459526,0.0631477162241935,0.10233985632658,0.0608544275164604,0.0762385949492454,0.1228814423084259,0.0774478837847709,0.0684750154614448,0.1253176927566528,0.1005724817514419,0.0985300913453102,0.0939141139388084,0.0630274415016174
quad,simple64bn,2,2.32.8,1.0,0.1.0.0,4,0.4686463187575804,0.4794644198007431,0.6153351639043236,0.050269141793251,0.0543894059956073,0.0565823055803775,0.056316539645195,0.0497363582253456,0.05339115858078,0.0607285313308239,0.0822514593601226,0.0476300977170467,0.0773218050599098,0.0537265166640281,0.0635435283184051,0.0600854642689228,0.0745950192213058,0.0850775763392448,0.0641245022416114
quad,simple64bn,2,2.32.8,1.0,0.10.0.0,0,0.5558333268184354,0.6544024609731944,0.7404480000369146,0.0530576147139072,0.0570846088230609,0.0631096586585044,0.0567689873278141,0.0624159425497055,0.0902348831295967,0.054897092282772,0.0603497140109539,0.1245618388056755,0.0792932659387588,0.0527399964630603,0.1111672595143318,0.0744744837284088,0.0693330988287925,0.1019024327397346,0.0574703067541122
quad,simple64bn,2,2.32.8,1.0,0.10.0.0,1,0.5025138296016057,0.5317057342193287,0.7173386542812638,0.0506104156374931,0.0616555958986282,0.0611651502549648,0.0510692000389099,0.0534453429281711,0.08890201151371,0.0542152151465415,0.0704694613814354,0.0553426556289196,0.1278045624494552,0.0658141449093818,0.0848001316189765,0.0756107419729232,0.0647206082940101,0.0961911678314209,0.0515757761895656
quad,simple64bn,2,2.32.8,1.0,0.10.0.0,2,0.4722705356019544,0.4754120670391058,0.6296776060989144,0.0572319105267524,0.0670004338026046,0.0542939268052578,0.075871504843235,0.0573432929813861,0.0631451830267906,0.0743534192442894,0.072081372141838,0.0631884038448333,0.0619788356125354,0.0612444020807743,0.1009287238121032,0.0615150332450866,0.0578372552990913,0.1237125843763351,0.0669107437133789
quad,simple64bn,2,2.32.8,1.0,0.10.0.0,3,0.514573637613658,0.5568168338553103,0.66454718286175,0.0611713677644729,0.0524163953959941,0.0686148703098297,0.0586830824613571,0.0606972686946392,0.0820347741246223,0.0657356455922126,0.0663266479969024,0.1658079028129577,0.0585059709846973,0.0653685107827186,0.1000474765896797,0.0896681100130081,0.0701539367437362,0.0847266763448715,0.0647061392664909
quad,simple64bn,2,2.32.8,1.0,0.10.0.0,4,0.4829995407085275,0.5324596673090114,0.6300222455806233,0.0510576143860816,0.0669917538762092,0.060914609581232,0.0514839924871921,0.0542867816984653,0.0550158284604549,0.0664554834365844,0.0781530737876892,0.0692045018076896,0.0755818933248519,0.0576356761157512,0.0943712219595909,0.0965147837996482,0.0738627463579177,0.0796380713582038,0.064466007053852
quad,simple64bn,2,2.32.8,1.0,0.100.0.0,0,0.5490680715800494,0.5992049359827215,0.7066576366473167,0.0582745149731636,0.0583982355892658,0.0605601780116558,0.0545208007097244,0.0649679899215698,0.0615445077419281,0.0726697668433189,0.0581098198890686,0.0686584413051605,0.0783259496092796,0.0654110014438629,0.0773861706256866,0.0605789944529533,0.0570143721997737,0.0932236909866333,0.0553949810564518
quad,simple64bn,2,2.32.8,1.0,0.100.0.0,1,0.4904658482173157,0.508279038785204,0.7858754853522094,0.0545006804168224,0.0510197505354881,0.0625760704278945,0.0510682053864002,0.0473481193184852,0.0714658573269844,0.0570257976651191,0.0643537044525146,0.0788576379418373,0.1517664343118667,0.0605386160314083,0.1103169173002243,0.0931654050946235,0.0873192548751831,0.0947700589895248,0.0702554732561111
quad,simple64bn,2,2.32.8,1.0,0.100.0.0,2,0.468501232332624,0.4729852874796349,0.6253404146321787,0.0541613474488258,0.0635279864072799,0.0550644323229789,0.0732337310910224,0.0532277189195156,0.085402064025402,0.0559271723031997,0.0608243010938167,0.0586035773158073,0.0604747273027896,0.0625980272889137,0.0953219383955001,0.0543006882071495,0.0636142939329147,0.1013774052262306,0.057809118181467
quad,simple64bn,2,2.32.8,1.0,0.100.0.0,3,0.4700851213953909,0.4863419353943083,0.5629496110670327,0.0526413209736347,0.0436046868562698,0.0515083484351635,0.0435046888887882,0.0430951118469238,0.0651184991002082,0.042747288942337,0.0596433915197849,0.052916694432497,0.0473876632750034,0.0468618907034397,0.0761073604226112,0.0558663010597229,0.0564989782869815,0.0718685239553451,0.0656387060880661
quad,simple64bn,2,2.32.8,1.0,0.100.0.0,4,0.4671556030681587,0.4702736077897061,0.7429715939491307,0.0511885806918144,0.0469090938568115,0.0509490109980106,0.0550409704446792,0.0490477494895458,0.0649882555007934,0.0511671043932437,0.0479101352393627,0.0549302175641059,0.0568420737981796,0.0531244352459907,0.1072652712464332,0.0901674404740333,0.0506969206035137,0.0843419134616851,0.0574729032814502
